City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
134,Tasiilaq,65.6145,-37.6368,39.65,81,50,2.93,GL,2022-07-03 15:55:55,scattered clouds
135,Punta Alta,-38.8759,-62.0736,52.27,40,1,12.62,AR,2022-07-03 15:55:55,clear sky
136,Aykhal,66.0,111.5,62.28,96,100,6.93,RU,2022-07-03 15:55:55,light rain
137,Trairi,-3.2778,-39.2689,84.15,61,67,11.27,BR,2022-07-03 15:55:34,broken clouds
138,Luderitz,-26.6481,15.1594,60.78,65,0,13.69,NA,2022-07-03 15:55:56,clear sky
139,Chicama,-7.8447,-79.1469,61.34,63,41,7.92,PE,2022-07-03 15:55:56,scattered clouds
140,Dudinka,69.4058,86.1778,54.63,59,23,22.06,RU,2022-07-03 15:55:56,few clouds
141,Butaritari,3.0707,172.7902,81.48,80,47,17.52,KI,2022-07-03 15:56:57,light rain
142,Bambous Virieux,-20.3428,57.7575,70.05,88,40,14.97,MU,2022-07-03 15:56:57,light rain
143,Geraldton,-28.7667,114.6,43.21,70,0,5.75,AU,2022-07-03 15:56:57,clear sky
144,Kalanguy,51.0167,116.5167,65.93,92,100,4.83,RU,2022-07-03 15:56:58,overcast clouds
145,Castro,-24.7911,-50.0119,73.9,44,0,8.72,BR,2022-07-03 15:56:58,clear sky
146,Bermeo,43.4209,-2.7215,71.24,78,92,8.43,ES,2022-07-03 15:56:58,overcast clouds
147,Vikravandi,12.0333,79.55,86.5,50,100,20.67,IN,2022-07-03 15:56:59,overcast clouds
148,Suslovo,56.2167,88.1167,52.77,91,32,5.26,RU,2022-07-03 15:56:59,scattered clouds
149,Varhaug,58.6147,5.6457,64.85,75,94,7.72,NO,2022-07-03 15:56:59,overcast clouds
150,Nanortalik,60.1432,-45.2371,46.72,89,98,8.23,GL,2022-07-03 15:57:00,overcast clouds
151,Upernavik,72.7868,-56.1549,39.09,79,20,9.51,GL,2022-07-03 15:57:00,few clouds
152,Mehran,33.1222,46.1646,101.73,9,0,9.84,IR,2022-07-03 15:57:00,clear sky
153,Biltine,14.5333,20.9167,94.3,29,12,7.02,TD,2022-07-03 15:57:00,few clouds
154,Pascagoula,30.3658,-88.5561,90.55,89,75,3.44,US,2022-07-03 15:57:01,broken clouds
155,Parrita,9.5201,-84.3225,82.45,79,70,3.96,CR,2022-07-03 15:57:01,broken clouds
156,Ust-Nera,64.5667,143.2,62.13,46,97,3.56,RU,2022-07-03 15:57:01,overcast clouds
157,Nahrin,36.0649,69.1334,87.91,16,4,1.95,AF,2022-07-03 15:57:02,clear sky
158,Yar-Sale,66.8333,70.8333,49.15,52,100,14.34,RU,2022-07-03 15:57:02,overcast clouds
159,Touros,-5.1989,-35.4608,73.85,96,100,11.65,BR,2022-07-03 15:57:02,light rain
160,Moerai,-22.4333,-151.3333,72.18,65,48,7.78,PF,2022-07-03 15:57:03,scattered clouds
161,Mandera,3.9366,41.867,84.88,37,54,13.62,KE,2022-07-03 15:57:03,broken clouds
162,Kruisfontein,-34.0033,24.7314,58.89,77,78,3.74,ZA,2022-07-03 15:57:04,broken clouds
163,Boguchany,58.3814,97.4531,53.74,96,29,4.36,RU,2022-07-03 15:57:04,scattered clouds
164,Rio De Janeiro,-22.9028,-43.2075,91.35,61,0,6.91,BR,2022-07-03 15:56:07,clear sky
165,Axim,4.8699,-2.2405,80.78,66,38,9.8,GH,2022-07-03 15:57:04,scattered clouds
166,Provo,40.2338,-111.6585,86.68,25,5,1.01,US,2022-07-03 15:57:05,clear sky
167,Norsup,-16.0667,167.3833,78.78,80,25,16.93,VU,2022-07-03 15:57:05,scattered clouds
168,Makat,47.6469,53.3463,65.52,44,90,15.88,KZ,2022-07-03 15:57:05,overcast clouds
169,Cabo San Lucas,22.8909,-109.9124,90.61,68,0,1.99,MX,2022-07-03 15:54:42,clear sky
170,Marawi,7.9986,124.2928,71.01,91,100,2.13,PH,2022-07-03 15:57:06,overcast clouds
171,Olafsvik,64.8945,-23.7142,47.98,80,93,19.1,IS,2022-07-03 15:57:06,overcast clouds
172,Meulaboh,4.1363,96.1285,77.61,86,100,1.3,ID,2022-07-03 15:57:07,overcast clouds
173,Pondicherry,11.93,79.83,87.1,54,100,20.02,IN,2022-07-03 15:57:07,overcast clouds
174,Hami,42.8,93.45,82.04,13,22,7.05,CN,2022-07-03 15:57:07,few clouds
175,Wawa,9.9022,4.4192,88.14,51,59,2.3,NG,2022-07-03 15:57:08,broken clouds
176,North Bend,43.4065,-124.2243,59.23,97,100,3.44,US,2022-07-03 15:57:08,overcast clouds
177,Kaitangata,-46.2817,169.8464,43.52,76,1,7.87,NZ,2022-07-03 15:57:08,clear sky
178,Portland,45.5234,-122.6762,63.0,73,100,1.99,US,2022-07-03 15:55:44,overcast clouds
179,East London,-33.0153,27.9116,63.54,77,75,9.22,ZA,2022-07-03 15:55:27,broken clouds
180,Lubao,14.9167,120.55,83.91,85,98,4.45,PH,2022-07-03 15:57:09,overcast clouds
181,Ahipara,-35.1667,173.1667,51.03,82,5,5.1,NZ,2022-07-03 15:57:09,clear sky
182,Belle Fourche,44.6714,-103.8522,79.05,51,12,5.95,US,2022-07-03 15:57:10,few clouds
183,Inuvik,68.3499,-133.7218,74.41,51,40,4.61,CA,2022-07-03 15:57:10,scattered clouds
184,Pastavy,55.1168,26.8326,72.7,77,100,0.98,BY,2022-07-03 15:58:10,overcast clouds
185,San Quintin,30.4833,-115.95,68.54,74,31,15.12,MX,2022-07-03 15:58:11,scattered clouds
186,Vila Franca Do Campo,37.7167,-25.4333,72.01,68,71,8.05,PT,2022-07-03 15:58:11,broken clouds
187,Deputatskiy,69.3,139.9,52.0,92,100,3.18,RU,2022-07-03 15:58:12,overcast clouds
188,Necochea,-38.5473,-58.7368,54.61,32,43,16.08,AR,2022-07-03 15:55:44,scattered clouds
189,Huicheng,23.0385,116.2899,79.12,94,100,9.71,CN,2022-07-03 15:58:12,overcast clouds
190,Clifton,40.8584,-74.1638,85.42,46,99,4.0,US,2022-07-03 15:58:12,overcast clouds
191,Teguise,29.0605,-13.564,75.42,53,40,20.71,ES,2022-07-03 15:58:13,scattered clouds
192,Jining,35.405,116.5814,80.85,77,53,11.72,CN,2022-07-03 15:58:13,broken clouds
